procedureID,State,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI,1424,21821.95,7157.73,5885.39
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MN,481,25362.57,7573.37,5863.44
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO,1111,24709.97,6148.57,4958.01
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS,635,24616.01,6184.34,4930.23
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MT,181,18543.87,6422.83,5381.77
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC,1259,22211.02,7025.42,5641.96
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ND,178,13430.51,6375.63,5415.72
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NE,352,18724.80,6354.09,5112.30
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NH,250,23652.63,7094.20,5642.44
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ,938,36522.56,7412.10,6287.16
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NM,142,31527.87,6381.32,5429.53
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NV,324,42374.66,7112.47,5625.42
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY,1562,21523.91,7974.02,6463.83
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH,1417,28386.05,6581.67,5097.85
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OK,559,24348.37,6237.79,4964.69
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OR,423,23488.96,7372.23,5821.07
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA,1289,32077.26,6687.72,5373.11
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,RI,105,22297.27,7993.86,6495.66
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SC,786,33702.05,6656.34,5180.89
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SD,166,21573.48,6710.39,5268.04
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN,1050,24333.13,6256.61,4861.50
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX,3223,30050.26,6524.65,5166.21
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,UT,124,21394.98,6938.20,4888.48
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA,885,27055.76,6810.18,5309.08
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VT,58,18030.03,9271.69,7921.31
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA,627,32092.45,7622.73,5798.48
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI,731,24309.05,6898.88,5487.80
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WV,431,17013.80,5991.43,4837.81
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WY,50,25509.42,8828.08,6944.14
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AK,51,25444.18,10603.55,9830.47
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AL,786,20896.07,5303.62,4373.14
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AR,395,15831.29,5767.77,4658.87
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AZ,531,27871.49,6471.66,5516.77
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CA,2326,43216.36,8440.21,7419.46
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CO,387,24934.07,6163.01,5165.73
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CT,455,24077.45,7804.90,6720.43
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,DC,128,27857.27,8987.81,7638.47
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,DE,132,17833.30,7187.56,6048.57
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,FL,3163,26890.96,5784.81,4796.97
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,GA,944,19031.17,6167.56,4989.73
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,HI,61,28876.51,8616.66,7374.00
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IA,278,15864.13,5819.86,4834.27
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ID,50,15390.96,5646.18,4588.04
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IL,2227,21665.32,6356.00,5391.42
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IN,1018,17502.69,5938.13,4841.27
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,KS,326,23427.17,5807.52,4645.85
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,KY,710,16435.39,5927.53,5060.07
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,LA,422,20366.39,5892.71,4922.28
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MA,1173,15952.57,7496.11,6494.95
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MD,1334,11106.05,10459.96,9387.74
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ME,221,16480.13,6653.04,5566.86
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MI,1386,14915.62,6636.62,5561.52
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MN,595,19572.14,6641.19,5635.86
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MO,870,18511.14,5834.71,4796.12
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MS,478,19465.69,5813.50,4619.83
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MT,94,17151.14,6082.44,5121.67
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NC,1250,18058.27,6755.13,5806.30
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ND,44,13487.18,5894.09,5018.16
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NE,166,17128.29,6016.61,4739.11
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NH,177,17866.80,6063.72,5150.27
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NJ,1684,45147.23,6998.20,6074.10
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NM,155,18190.66,6964.03,6100.45
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NV,245,42146.69,6521.46,5432.58
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NY,3338,27499.22,8900.84,7867.08
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OH,1619,17631.85,5892.42,4943.27
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OK,392,18410.89,5768.42,4815.96
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OR,176,17874.26,6925.19,5900.10
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,PA,1954,28197.63,6506.90,5521.27
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,RI,104,21139.48,7033.18,5861.71
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,SC,648,23868.94,6230.88,5128.03
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,SD,67,15961.55,6135.58,5262.27
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,TN,782,19529.79,5617.87,4581.00
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,TX,2113,27779.32,6250.44,5181.42
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,UT,77,17684.58,7068.03,4766.55
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,VA,945,18761.59,6024.27,4955.25
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,VT,49,15927.20,8834.94,7986.69
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WA,364,21754.01,6612.30,5653.74
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WI,704,17132.98,6426.47,5491.96
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WV,295,12752.45,5665.62,4812.52
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WY,38,17843.89,8435.24,7574.71
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AK,75,51757.05,19505.29,18552.41
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AL,1441,43345.65,11153.71,9874.22
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AR,782,30737.34,10831.32,9893.25
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AZ,1005,46494.58,12931.91,11773.16
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CA,5806,92578.80,17188.25,15974.01
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CO,575,54541.25,13062.69,11166.95
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CT,897,45712.34,16134.57,14731.04
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DC,293,61768.63,17668.98,16218.39
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DE,303,32240.83,14283.95,12518.06
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,FL,4458,58339.61,12099.11,11008.56
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,GA,1994,41662.22,12421.58,11193.45
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,HI,255,47133.75,17421.24,15905.27
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IA,544,31414.31,11854.72,10757.55
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ID,189,24833.57,11761.32,9770.23
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IL,3060,48158.60,13176.60,11916.63
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IN,1672,33985.59,11835.67,10694.14
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KS,596,42927.14,11384.78,10158.37
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KY,1367,37133.58,12529.21,11577.74
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,LA,1094,44854.05,12092.36,10718.17
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MA,1526,32994.82,15333.54,14138.84
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MD,1693,18426.13,17339.46,16281.65
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ME,318,28026.32,12892.84,11708.76
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MI,2760,31867.85,13298.33,12279.71
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MN,936,35496.66,13633.92,12184.24
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MO,1758,40394.35,11991.36,10773.93
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MS,1016,39854.60,11759.46,10658.31
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MT,147,25023.48,12174.39,10620.31
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NC,2790,33178.74,13233.91,12221.42
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ND,162,25663.84,11857.28,10910.67
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NE,333,37883.18,12828.47,11794.58
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NH,235,27529.10,12367.07,11511.94
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NJ,2189,92447.46,14485.60,13379.77
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NM,279,41816.03,14733.62,13920.40
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NV,463,80484.77,13334.68,11994.92
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NY,3842,53558.51,18061.15,16677.83
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OH,2588,41025.81,12550.26,11368.70
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OK,901,41478.29,11648.91,10622.43
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OR,488,36499.39,13887.39,12787.01
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,PA,3030,57393.67,13015.74,11912.68
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,RI,229,42493.14,15981.22,14831.97
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SC,1298,47848.16,13313.03,12046.17
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SD,167,37508.31,13140.28,12304.99
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TN,2155,38526.40,11363.25,10241.72
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TX,5017,56771.91,12706.03,11425.37
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,UT,266,29760.61,13022.74,11009.21
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VA,2227,35038.04,12241.47,10887.66
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VT,120,23311.69,16340.55,15315.76
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WA,1211,41386.08,13480.67,12233.63
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WI,1030,33310.70,12758.41,11530.61
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WV,537,29169.74,12438.84,11351.30
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WY,46,34077.28,15652.46,14873.33
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AK,163,37409.06,12173.88,10913.01
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AL,2572,26471.96,6679.24,5499.19
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AR,1536,18459.38,6649.57,5619.30
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,AZ,1633,31960.79,7937.91,6713.22
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,CA,8265,54587.78,9863.82,8713.93
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,CO,1013,32576.15,7227.90,6170.58
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,CT,1362,28955.92,9428.62,8220.82
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,DC,385,36912.67,10567.02,9403.86
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,DE,459,21202.69,8295.58,7189.29
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,FL,7462,36772.04,7181.50,6052.01
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,GA,3459,25588.51,7253.66,6137.10
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,HI,326,29109.94,11266.46,8869.85
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,IA,1125,19879.46,7020.30,5955.27
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ID,365,17319.82,7157.23,5896.79
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,IL,5304,31714.74,8107.31,6727.35
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,IN,3029,23413.10,7207.76,6061.42
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,KS,1031,28097.29,7084.56,5884.74
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,KY,2076,24754.05,7446.23,6316.56
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,LA,1917,25562.20,7148.61,5907.98
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MA,2534,21298.87,9672.43,8017.72
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MD,2807,10721.41,10103.38,9034.22
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ME,599,17274.16,7683.76,6519.77
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MI,4249,20296.18,8110.11,7075.55
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MN,1566,23840.18,8154.80,6815.52
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MO,2826,25407.08,7183.56,6014.59
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MS,1656,25011.14,6890.86,5907.31
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,MT,325,16474.60,7151.83,5973.42
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NC,4411,21002.69,7823.52,6775.49
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ND,283,15447.34,7495.28,6196.45
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NE,620,25387.94,7373.79,6204.72
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NH,464,22351.59,8033.13,6933.15
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NJ,3660,58981.46,8702.27,7565.41
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NM,478,26356.55,8181.70,7167.00
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NV,698,45804.77,8073.28,6831.09
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,NY,5530,32609.01,10353.02,9146.63
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OH,4051,25142.57,7387.64,6244.05
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OK,1704,23751.33,7079.67,6022.91
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OR,842,20880.78,8146.72,6955.15
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,PA,5083,36077.35,7839.92,6713.17
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,RI,298,25251.03,8800.94,7798.99
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,SC,2097,28460.26,7447.32,6320.78
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,SD,350,21344.57,8104.26,6842.31
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,TN,3204,25001.81,6971.97,5807.41
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,TX,8128,35470.59,7650.69,6430.64
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,UT,447,19768.91,7406.73,5951.30
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,VA,3442,23794.38,7304.23,6059.59
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,VT,166,18131.54,9966.87,8689.93
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WA,2012,27723.60,8205.93,6853.36
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WI,1882,22876.95,7717.54,6472.21
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WV,959,17350.03,7194.58,6197.03
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,WY,130,21492.07,9816.77,8822.01
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AK,105,25567.13,8494.73,7374.23
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AL,1425,20668.73,4755.05,3643.55
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AR,839,14734.64,4807.81,3730.80
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AZ,985,25206.22,5730.45,4495.96
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CA,4358,40852.11,7023.95,5786.13
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CO,625,25076.08,5307.51,4106.06
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CT,830,21732.31,6703.19,5373.93
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DC,213,31226.67,7887.83,6549.85
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DE,301,16001.54,5977.07,4635.95
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,FL,4454,28674.22,5191.85,3929.18
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,GA,1715,19789.58,5337.31,4140.92
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,HI,211,20800.95,7837.78,5793.06
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IA,648,16662.37,5184.75,3942.67
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ID,194,14082.25,5320.12,3960.66
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IL,2891,24327.96,5869.94,4393.89
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IN,1690,18213.44,5176.24,3868.41
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,KS,565,20658.96,5138.98,3852.55
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,KY,1380,19801.92,5253.42,4094.79
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,LA,1106,18583.68,5291.65,3900.49
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MA,1471,17316.67,6444.07,5309.20
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MD,1506,8175.49,7716.38,6563.02
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ME,292,13158.06,5582.03,4350.97
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MI,2128,15737.53,5805.18,4611.19
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MN,893,18958.12,5873.18,4405.06
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MO,1707,20352.64,5231.01,4004.85
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MS,1012,19206.31,4955.33,3819.10
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MT,172,12136.29,5236.69,3994.46
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NC,2469,16789.43,5610.79,4411.04
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ND,152,11534.46,5275.93,4062.45
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NE,373,18567.19,5607.36,4112.25
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NH,265,19296.46,5810.31,4607.46
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NJ,1945,45037.55,6182.32,5018.10
